key,value,date,expansion
Data Breach,0.010301825411169347,2015-10-19,password steal;hacker steal;security breach;data leak;breach data
Account Hijacking,0.3695102114585216,2015-10-20,hack account;acct hack;email account hack;account government hack;hack aol email account;cia director aol account hack
DDoS Activity,0.007590818724019519,2015-10-20,vulnerability exploit;phishing attack;slow internet;ddos
Data Breach,0.013826134104464125,2015-10-20,information steal;hacker steal;password steal;steal identity;security breach;data leak;data breach
Account Hijacking,0.012922465208747515,2015-10-21,account hack;hack account
DDoS Activity,0.008404120730164468,2015-10-21,ddos;slow internet
Data Breach,0.019699981926622086,2015-10-21,breach email data;security breach;data leak;data breach;steal identity;information steal
Account Hijacking,0.1779324055666004,2015-10-22,hack aol account;hack account;hack account someone;unauthorized access
DDoS Activity,0.012289896981745888,2015-10-22,phishing attack;retailing ddos;internet retailing ddos;ddos;network infiltrate;slow internet;vulnerability exploit
Data Breach,0.026477498644496656,2015-10-22,information steal;hacker steal;security breach;data leak;data breach;#security breach;data security breach;cyber security breach
Account Hijacking,0.01238026387131755,2015-10-23,unauthorized access;hack account;hack data
DDoS Activity,0.015904572564612324,2015-10-23,vulnerability exploit;slow internet;phishing attack;talktalk ddos;ddos
Data Breach,0.11630218687872763,2015-10-23,talktalk data breach;talktalk security breach;talktalk breach;talktalk data breach customer;talktalk data;hacker steal;information steal;customer data breach;data leak;security breach;data breach;security data breach
Account Hijacking,0.014549069221037412,2015-10-24,hack account
DDoS Activity,0.009127055846737755,2015-10-24,ddos;malicious activity;slow internet
Data Breach,0.031447677570938005,2015-10-24,hacker steal n8m attach;hacker steal;hacker steal n8m attach policeman;hacker steal n8m;#gbawobyjaywonandyq hacker steal;information steal;steal identity;security breach;data leak
Account Hijacking,0.2753479125248509,2015-10-25,hack aol account;hack account;bank account;unauthorized access;fantasy6 account;pamm account;instagram account;fb account;twitter account
DDoS Activity,0.009217422736309416,2015-10-25,malicious activity;ddos;network infiltrate;slow internet
Data Breach,0.011657328754744262,2015-10-25,#talktalk breach;hacker steal n8m;hacker steal;steal identity;security breach;data leak;data breach
Account Hijacking,0.011657328754744262,2015-10-26,hack account
DDoS Activity,0.011838062533887583,2015-10-26,slow internet;phishing attack;conducting ddos;ddos;vulnerability exploit
Data Breach,0.021597686607626964,2015-10-26,steal identity;security breach;data leak;data breach;hacker steal;information steal
Account Hijacking,0.011024760527742636,2015-10-27,hack account;unauthorized access
DDoS Activity,0.021507319718055303,2015-10-27,slow internet;phishing attack;ddos;vulnerability exploit
Data Breach,0.02204952105548527,2015-10-27,privacy breach;internet privacy breach;hacker steal;steal identity;breach security;security breach;data leak;data breach;information steal;biosecurity breach
Account Hijacking,0.009217422736309416,2015-10-28,hack account;unauthorized access
DDoS Activity,0.027561901319356586,2015-10-28,ddos;malicious activity;slow internet;vulnerability exploit;phishing attack
Data Breach,0.02006144948490873,2015-10-28,security breach;data leak;data breach;information steal;steal identity;hacker steal
Account Hijacking,0.00867522139887945,2015-10-29,hack account
DDoS Activity,0.01843484547261883,2015-10-29,ddos;phishing attack;vulnerability exploit;slow internet;malicious activity
Data Breach,0.02132658593891198,2015-10-29,hacker steal;security breach;data leak;data breach;steal identity;password steal;privacy breach
Account Hijacking,0.011295861196457618,2015-10-30,hack account;unauthorized access
DDoS Activity,0.012832098319175854,2015-10-30,slow internet;vulnerability exploit;ddos
Data Breach,0.06876920296403398,2015-10-30,security breach;data leak;data breach;steal identity;hacker steal;talktalk data;breach talktalk data;talktalk data breach;password steal
Account Hijacking,0.0094885234050244,2015-10-31,unauthorized access;hack account
DDoS Activity,0.011928429423459244,2015-10-31,ddos;slow internet;vulnerability exploit
Data Breach,0.00858485450930779,2015-10-31,security breach;data leak;password steal;safety breach;ifax safety breach;steal identity;hacker steal
Account Hijacking,0.009669257184167722,2015-11-01,hack account;account hack;unauthorized access
DDoS Activity,0.014820169889752394,2015-11-01,phishing attack;vulnerability exploit;ddos;malicious activity;slow internet
Data Breach,0.004066510030724743,2015-11-01,hacker steal;security breach;data leak;steal identity
